,Clothing ID,Age,Title,Review Text,Rating,Recommended,Positive Feedback Count,Division Name,Department Name,Class Name
173,868,51,Great for summer,"Love this cream sleeveless top....it goes with everything and you can dress it up or down! this will be a go to top all summer long and probably wear thru the fall as well with a layered sweater, if needed. i typically wear small or medium size and got the medium hoping for a little longer length. i am 5'7, 34c, and overall wt. of approx. 128 lbs...it fits very nicely . thank you retailer!",4,1,0,General Petite,Tops,Knits
270,868,61,Nice color,I liked the color of this top but i didn't really like the ruffled stitching around the middle. it looks like someone just tacked on the bottom half. i bought this for my daughter and she likes it. i think it is comfortable and a good top to knock around in.,3,1,0,General,Tops,Knits
276,868,55,Pretty and feminine,Pretty top. love the color and the large ruffle. makes it great for layering or with a pretty necklace.,5,1,0,General,Tops,Knits
277,868,83,Sooooooooo cute!,"Love this top!
it is a full/ swing top, but the slightly shorter length balances out the fullness perfectly.
i have been wearing it with a contrasting fitted cami and get tons of compliments.
love both colors, and having fun wearing them.
and after one washing the fullness is softer and looks like the pic.
runs true to size and in the arms slightly tight, so i went with my usual med and fits perfect.
if you have issues with sleeve size would recommend going up a size, otherwise very true to size",5,1,1,General,Tops,Knits
278,868,35,Peplum hem tee,"The styling of this top is really cute. it fits perfectly on the shoulders and gets bigger at the hem for the baby doll look. my biggest complaint is the quality! it's really cheap and feels like the quality i would expect to see at a cheap retailer. it catches lint like crazy and because the hem is just a pearl edge, it curls really badly. i buy quite a bit from here and this is the worst quality item i have seen in a long time. not worth the $$ if paying full price.",3,1,2,General,Tops,Knits
282,868,65,,"This shirt is one of my favorite retailer purchases ever! it is well made and is perfect for work or the weekend. the first time i wore it, i received so many compliments!",5,1,4,General,Tops,Knits
284,868,69,Clever white edges,"I liked this top even though it was a definite 'swing' style. i ended up altering it to remove some of the fullness.
looks great with jeans as well as black pants for a dressier look. very soft and comfortable fabric. wish it was just a little bit longer.",4,1,0,General,Tops,Knits
286,868,42,,"Like the other reviewer said this top is extremely wide and boxy. it must be pinned in the picture online. it's very frustrating when they do that. thank goodness i didn't pay for shipping! for reference, i'm 5'2 and 135 pounds and bought the xxs, it's going back for sure. i'm trying to lose baby weight, not trying to look pregnant!",2,0,1,General,Tops,Knits
834,868,46,,Cute cute. simple tank with a little something to add interest.,4,1,0,General,Tops,Knits
969,868,55,,"Omg - wish it came in more colors,,",5,1,2,General,Tops,Knits
1021,868,26,Cute tunic,"This tunic is very nice. flattering, good design, worn in winter and spring, and fits well. i have a curvy figure, and this fits well. i wish it came in more colors.it does show flaws slightly but fits well and is stretchy.",4,1,0,General,Tops,Knits
1085,868,55,Pretty and feminine,Pretty pink top is great for layering iand alone in the summer and spring,4,1,4,General,Tops,Knits
1091,868,29,I wanted to love this shirt.,"I order this shirt because it looked like a shirt you could dress up or down. when i got it the shirt was really wrinkled. therefore, i knew it would have to ironed a lot. it was quite boxy and was shorter in the front then in the back. i didn't realize that this shirt was two different fabrics. overall i think this shirt would be more flattering on a woman that was petite.",3,0,0,General,Tops,Knits
1093,868,56,Super cute with right body style,Top is very wide and flowy. i am petite with large chest so it hung from widest point and was not flattering. would be very cute with the right body shape.,3,1,3,General,Tops,Knits
1212,868,34,Nice simple staple,"I purchased this in the mauve color. beautiful color with tan skin for the summer, but also perfect for fall. the material is very thin but not sheer at all. has quite a bit of drape/swing to it so i sized up to make sure it was long enough. it fits me like it fits the model shown here. i am about 5'4"" 115lbs and 32b and am keeping the small.",5,1,2,General,Tops,Knits
1223,868,43,Wide,"I'm 5""0"" and weigh 105 lbs. i purchased the xxs and it was super-wide, and big all over. it looked like a pregnancy top and did not lay as nicely as shown on the model. also, not shown on the model is the front is short and the back is very long. this would work better on a taller person. i just find it odd that a xxs is still too big. the quality of the fabric and the print is good and the lace-up in the back is cute.",2,0,7,General,Tops,Knits
1226,868,59,So cute!,"I always look for things to hide ""parts"" without making my ""parts"" look even more pronounced. this top is much cuter in person than online. it has floral edging around the neck and lace up area i didn't notice. the length is perfect, the sleeve length is perfect and it makes me feel thin (even though it has stripes!). perfect spring summer top.",5,1,16,General,Tops,Knits
1256,868,41,Love it!,I love this shirt! it hides my tummy perfectly without being too baggy! super cute!!,5,1,6,General,Tops,Knits
1282,868,38,Comfortable style,Like the extra details on the neck and back - and it's versatile to wear everywhere,4,1,3,General,Tops,Knits
1299,868,42,Comfy and lovely,"This shirt is so very pretty in person. the detail on the neckline and the lace up on the back are so cute and give the shirt just a bit of whimsy, making it more unique than your usual flowy t-shirt. it lays perfectly and the material is very soft and comfy. you can wear it casual or dress it up. i may get another one because this is the kind of shirt i will wear constantly!",5,1,4,General Petite,Tops,Knits
1309,868,41,Adorable!,"This is such an adorable tee. the stripes and lace up details are super cute and on trend. i usually take a xxs and that is what i took in this tee. i tried the xs and at 5""1 and 104 pounds it looked a bit loose and long on me. love this tee and highly recommend this one!",5,1,7,General Petite,Tops,Knits
1812,868,38,Great top!,I was surprised and impressed by how well made this top is. it looks and feels expensive and of good quality. it is a very flattering fit for someone like me who is small on top and wider at the hips area. i look forward to wearing this top all through the fall/winter/holiday seasons!,5,1,0,General,Tops,Knits
1824,868,66,Great w/ black crops,Glad i got this on sale. it is more yellow than the photo & short. it is also heavy with a sueded interior. would have given more stars if it was less boxy & longer.,3,1,0,General,Tops,Knits
1839,868,48,Beautiful unique top,"Love the unique details and neutral color scheme. top is boxy but i liked the way it looked on my 5'2"" 115 lb. frame. it's comfortable and well made. thicker material.  seems to be holding up fine after one washing.  looks great with skinny jeans.  highly recommend!",5,1,0,General,Tops,Knits
1842,868,49,Love this top,"I really loved this top the minute i put it on. read the other reviews but it really worked for me. i am 5'3"", 36dd, athletic build and the m fit perfectly with a nice roomy fit. top will be perfect for my upcoming trip to tahoe. plan to wear with light denim, dark denim, and black cropped denim bottoms. even looks great with a culottes or denim skirt. the weight is really nice and it washed nicely. i washed on delicate, and laid flat to dry. a little pressing and good as new. it has a nice boze",5,1,6,General,Tops,Knits
1851,868,63,,I'm a 32ddd and this top fit perfect. i wore it with boyfriend jeans and flats. the material is nice and perfect for fall,4,1,0,General,Tops,Knits
2748,868,36,Not good,"I loved this color and ordered it online because i thought it would work for both casual and work days dressed up a little. ummmmm, no. it's weird and boxy and does not look at all like it does on the model. i think maybe if you have no bust whatsoever and size way down it would look okay. i'm only a 34b, weigh 110 pounds, 5'3"" and it made me look huge and awkward. this is going back!",2,0,5,General,Tops,Knits
2751,868,33,Doesn't wash well :(,"I purchased this top on sale and was really excited about the style. it fit great the first time i wore it. i washed it once, according to the care instructions. after washing it in cold water and allowing it to air dry, it was basically ruined. it shrunk up in length widened out about two inches. i'm pretty bummed about it because it was cute.",1,0,3,General,Tops,Knits
2767,868,44,Great top if you get the right size!!,"This top is so soft, simple, and such a closet staple, if you get the right size! for reference, i am 5'3, 128 lbs, and i ordered the petite medium. it's perfect. the black is a great color, hard to describe, kind of soft with some warm blush tones. i also ordered the white and the peach. great at the sale price!!",5,1,0,General,Tops,Knits
2769,868,50,Adorable,I bought this shirt for my 16 year old daughter. it looked adorable on her! she loved it and can't wait to wear it. the fabric felt like a great quality and the color was quite unique.,4,1,0,General,Tops,Knits
2770,868,43,Cute and swingy,"This top runs large. i had no problem sizing down one size, and could have gone down two sizes if not for the bust area. i ordered this tee in the distressed black color (in real life, it's more like distressed charcoal gray), and really like the fit. the asymmetric peplum is unusual, and cut at a flattering angle. i also really like that this top is not short; i often have trouble with length at retailer, being long in the torso. even going down a size, the length is great. overall, i like that t",5,1,6,General,Tops,Knits
2771,868,40,,This top runs larger so size down. i love it besides that. it's adorable!,5,1,0,General,Tops,Knits
2773,868,33,I really like it,"This top looks great with a long straight skirt (the grey with a black skirt....) and skinny jeans. i can understand why the style might not work for everyone but for me it's a perfect blend of elegant and funky. i'm sometimes a medium sometimes a large and the medium work well for me, so if in doubt size down",4,1,2,General,Tops,Knits
2776,868,42,Love it!!,"I tried this (black motif) on yesterday in my local retailer store and fell in love...after sizing down! i do have to agree with previous reviewers that this top runs large. i am typically a s, but sized down to xs, and the fit was not even slightly snug. the material is soft and comfortable and i love the asymmetrical draped ""skirted"" bottom..very funky and arty-looking. i am 5'5"" and the regular length was great on me. as much as i will enjoy wearing it all summer, i also can't wait to layer it",5,1,3,General,Tops,Knits
2777,868,29,Bulky!,"I wanted to like this top, as i usually adore a cute peplum feature. when i tried it on yesterday in the store, i was disappointed by how wide and bulky is it. i am petite (5'2"", 110 lbs), and i tried my usual xs. the fabric was substantial and of a high quality, but unfortunately in this design, that became a bad thing as the bottom of the shirt balooned out around me. it was very unflattering and i felt lost in the shirt! definitely try it on for yourself before purchasing.",3,0,1,General,Tops,Knits
2779,868,59,So great,Just got the small peach in the mail; love it. also got the black small petite; works great as this shirt is pretty long. great boho tee.,5,1,0,General,Tops,Knits
2781,868,25,No!!,"I thought i would love this shirt because it goes along with my style, but i returned it immediately. it runs so large! the colors are faded, and the trim of the shirt curl over, so it looks cheap and frumpy. i do not recommend this! it hits in all the wrong places.",2,0,0,General,Tops,Knits
2782,868,31,Love it,I love the way this top fits and the way it flows. i have it in two colors.,5,1,0,General,Tops,Knits
2784,868,35,Modern swing,"This is a modern version of the peplum top and very flattering if you don't mind flowy cuts. the material has a nice heaviness to it, and i love the black pebbled effect. 34 d, 130 lbs fit small perfectly.",4,1,3,General,Tops,Knits
2785,868,25,,This is my new favorite shirt!! you can dress it up or down. so comfy and totally flattering :),5,1,0,General,Tops,Knits
2787,868,67,"Cute top, poor fit","This is a cute top but the fit is problematic. it runs small on top especially around the bust and sleeves but then it flares below the waist in a billowy and unflattering way with way too much fabric.
i got both an xsp and an xxsp. the xxsp fit better on bottom but i could hardly pull my arms through the sleeves. both are going back unfortunately. for reference i'm 5' 103 lbs 32b.",3,0,16,General,Tops,Knits
2788,868,37,Unique but runs big,"This is a super cute style and i love it with white skinnies. i purchased the gray colorway. i am normally a small in tops but purchased the xs based on other reviews. the xs is still pretty loose on me, but i don't mind too much because i like flowy tops anyway. the color is so pretty and the design is edgy. it will transition to fall well.",5,1,1,General,Tops,Knits
2789,868,25,So comfy and versatile!,"I now have this tee in 3 colors - partly because my daughter loves and shares them with me. i typically get a size medium because i like things to fit a little loose, but needed a small in this shirt. goes great with all styles of jeans/knakis.",5,1,0,General,Tops,Knits
2794,868,36,Like it so much i ordered a second one!,"I ordered this in the peach color way. it is a nice, thicker cotton and while i have only worn & washed once (i air dried) it feels like a fabric that will hold up well. fit is good, i stuck with my usual medium. at first i thought it was a little big but i didn't want to risk the arms being too tight or short by going down to a small. in the body a small would have worked i am sure, so if you have slender arms going down a size may work well. i liked it so much though i ordered a second one in",5,1,0,General,Tops,Knits
